ID	Номер участника	Имя	Дата создания	Дата рождения	Пол	Город
1	9700929678075942	Маргарита Ивановна Виноградова	13.02.2017 2:32	08.09.2001	Жен	Москва
87	9465776802285679	Михаил Александрович Морозов	23.02.2017 8:53	17.10.2004	Муж	Москва
2	8001196916005985	Лев Олегович Макаров	13.02.2017 4:00	11.06.1987	Муж	Самара
3	3307009764487110	Светлана Ивановна Соловьёва	13.02.2017 10:47	12.12.1938	Жен	Ростов-на-Дону
137	6976947879206497	Алевтина Владимировна Гусева	01.03.2017 1:04	08.01.1985	Жен	Москва
4	3067704260077703	Борис Аркадьевич Михайлов	13.02.2017 15:49	04.05.2002	Муж	Москва
5	5015218404713981	Герман Васильевич Комаров	13.02.2017 16:54	03.01.1984	Муж	Казань
110	6999203340735244	Николай Михаилович Ковалёв	26.02.2017 6:49	18.11.1983	Муж	Екатеринбург
6	9071398604209774	Алевтина Эдуардовна Смирнова	13.02.2017 19:54	05.08.1980	Жен	Новосибирск
7	2602543239861704	Владимир Вячеславович Васильев	13.02.2017 20:53	31.01.1978	Муж	Москва
90	2214389117267651	Алевтина Валентиновна Васильева	23.02.2017 20:16	13.05.1991	Жен	Москва
8	4618436945788970	Юлия Григорьевна Ковалёва	13.02.2017 22:20	18.08.1951	Жен	Москва
9	1803630528169758	Клавдия Павловна Макарова	14.02.2017 1:50	31.01.1992	Жен	Казань
52	6073937208261567	Владимир Львович Павлов	18.02.2017 17:40	26.12.1936	Муж	Санкт-Петербург
10	3482244926274100	Раиса Станиславовна Кузьмина	14.02.2017 5:10	17.01.1961	Жен	Казань
11	7673896040602647	Георгий Григорьевич Куликов	14.02.2017 5:56	04.03.1998	Муж	Москва
33	7931832605429096	Игорь Юрьевич Михайлов	16.02.2017 14:26	10.09.1993	Муж	Санкт-Петербург
12	5786456161390484	Геннадий Владиславович Зайцев	14.02.2017 6:33	17.04.2000	Муж	Москва
13	9972127125980427	Любовь Михаиловна Павлова	14.02.2017 9:54	15.10.1994	Жен	Екатеринбург
75	9912744757399204	Сергей Александрович Семёнов	22.02.2017 3:31	15.08.2003	Муж	Самара
14	3896849148691249	Римма Павловна Андреева	14.02.2017 14:48	26.12.1975	Жен	Москва
15	4886003658216453	Олег Леонидович Смирнов	14.02.2017 16:00	02.01.1997	Муж	Москва
16	1765434662144866	Вера Романовна Макарова	14.02.2017 17:17	23.01.1941	Жен	Москва
60	9651312551300385	Владимир Геннадьевич Ковалёв	19.02.2017 23:13	24.12.1979	Муж	Москва
17	1202582357180167	Владимир Васильевич Богданов	14.02.2017 17:53	17.12.1992	Муж	Москва
18	8110726717796482	Александр Романович Белов	14.02.2017 18:57	18.05.1990	Муж	Москва
